dataset_id,protocol_id,n_sub,replicate_id,classifier_id,fold_id,auc
toy,cv5,100,6,c1,2,0.8442
toy,cv5,100,6,c1,3,0.8436
toy,cv5,100,6,c1,4,0.8143
toy,cv5,100,6,c1,5,0.8748
toy,cv5,100,6,c2,1,0.8104
toy,cv5,100,6,c2,2,0.8278
toy,cv5,100,6,c2,3,0.8446
toy,cv5,100,6,c2,4,0.8434
toy,cv5,100,6,c2,5,0.8513
toy,cv5,100,6,c3,1,0.7638
toy,cv5,100,6,c3,2,0.7521
toy,cv5,100,6,c3,3,0.7644
toy,cv5,100,6,c3,4,0.7066
toy,cv5,100,6,c3,5,0.7152
toy,cv5,100,7,c1,1,0.7929
toy,cv5,100,7,c1,2,0.8432
toy,cv5,100,7,c1,3,0.7962
toy,cv5,100,7,c1,4,0.8152
toy,cv5,100,7,c1,5,0.8756
toy,cv5,100,7,c2,1,0.786
toy,cv5,100,7,c2,2,0.8254
toy,cv5,100,7,c2,3,0.7652
toy,cv5,100,7,c2,4,0.7914
toy,cv5,100,7,c2,5,0.7646
toy,cv5,100,7,c3,1,0.7266
toy,cv5,100,7,c3,2,0.7691
toy,cv5,100,7,c3,3,0.6767
toy,cv5,100,7,c3,4,0.7545
toy,cv5,100,7,c3,5,0.7474
toy,cv5,100,8,c1,1,0.7884
toy,cv5,100,8,c1,2,0.8431
toy,cv5,100,8,c1,3,0.8214
toy,cv5,100,8,c1,4,0.8489
toy,cv5,100,8,c1,5,0.8413
toy,cv5,100,8,c2,1,0.8682
toy,cv5,100,8,c2,2,0.8019
toy,cv5,100,8,c2,3,0.7736
toy,cv5,100,8,c2,4,0.8169
toy,cv5,100,8,c2,5,0.8184
toy,cv5,100,8,c3,1,0.7994
toy,cv5,100,8,c3,2,0.7806
toy,cv5,100,8,c3,3,0.7633
toy,cv5,100,8,c3,4,0.8032
toy,cv5,100,8,c3,5,0.7077
toy,cv5,100,9,c1,1,0.8064
toy,cv5,100,9,c1,2,0.8257
toy,cv5,100,9,c1,3,0.7902
toy,cv5,100,9,c1,4,0.8626
toy,cv5,100,9,c1,5,0.8318
toy,cv5,100,9,c2,1,0.7568
toy,cv5,100,9,c2,2,0.7732
toy,cv5,100,9,c2,3,0.8211
toy,cv5,100,9,c2,4,0.8399
toy,cv5,100,9,c2,5,0.8816
toy,cv5,100,9,c3,1,0.8547
toy,cv5,100,9,c3,2,0.7647
toy,cv5,100,9,c3,3,0.7141
toy,cv5,100,9,c3,4,0.673
toy,cv5,100,9,c3,5,0.7594
toy,cv5,100,10,c1,1,0.822
toy,cv5,100,10,c1,2,0.815
toy,cv5,100,10,c1,3,0.8319
toy,cv5,100,10,c1,4,0.8754
toy,cv5,100,10,c1,5,0.8426
toy,cv5,100,10,c2,1,0.8013
toy,cv5,100,10,c2,2,0.7697
toy,cv5,100,10,c2,3,0.7467
toy,cv5,100,10,c2,4,0.7895
toy,cv5,100,10,c2,5,0.8051
toy,cv5,100,10,c3,1,0.8106
toy,cv5,100,10,c3,2,0.7517
toy,cv5,100,10,c3,3,0.7824
toy,cv5,100,10,c3,4,0.729
toy,cv5,100,10,c3,5,0.7043
toy,cv5,100,11,c1,1,0.8084
toy,cv5,100,11,c1,2,0.9112
toy,cv5,100,11,c1,3,0.805
toy,cv5,100,11,c1,4,0.8647
toy,cv5,100,11,c1,5,0.8021
toy,cv5,100,11,c2,1,0.8381
toy,cv5,100,11,c2,2,0.8184
toy,cv5,100,11,c2,3,0.7989
toy,cv5,100,11,c2,4,0.8031
toy,cv5,100,11,c2,5,0.781
toy,cv5,100,11,c3,1,0.7606
toy,cv5,100,11,c3,2,0.7282
toy,cv5,100,11,c3,3,0.7004
toy,cv5,100,11,c3,4,0.6986
toy,cv5,100,11,c3,5,0.7508
toy,cv5,100,12,c1,1,0.881
toy,cv5,100,12,c1,2,0.871
toy,cv5,100,12,c1,3,0.8856
toy,cv5,100,12,c1,4,0.9223
toy,cv5,100,12,c1,5,0.8832
toy,cv5,100,12,c2,1,0.8305
toy,cv5,100,12,c2,2,0.8851
toy,cv5,100,12,c2,3,0.8607
toy,cv5,100,12,c2,4,0.9006
toy,cv5,100,12,c2,5,0.8519
toy,cv5,100,12,c3,1,0.7412
toy,cv5,100,12,c3,2,0.736
toy,cv5,100,12,c3,3,0.8447
toy,cv5,100,12,c3,4,0.8473
toy,cv5,100,12,c3,5,0.7788
toy,cv5,100,13,c1,1,0.8965
toy,cv5,100,13,c1,2,0.804
toy,cv5,100,13,c1,3,0.8117
toy,cv5,100,13,c1,4,0.867
toy,cv5,100,13,c1,5,0.8297
toy,cv5,100,13,c2,1,0.8137
toy,cv5,100,13,c2,2,0.808
toy,cv5,100,13,c2,3,0.826
toy,cv5,100,13,c2,4,0.8645
toy,cv5,100,13,c2,5,0.8171
toy,cv5,100,13,c3,1,0.7771
toy,cv5,100,13,c3,2,0.6801
toy,cv5,100,13,c3,3,0.7521
toy,cv5,100,13,c3,4,0.7235
toy,cv5,100,13,c3,5,0.71
toy,cv5,100,14,c1,1,0.8239
toy,cv5,100,14,c1,2,0.8689
toy,cv5,100,14,c1,3,0.7882
toy,cv5,100,14,c1,4,0.8371
toy,cv5,100,14,c1,5,0.8185
toy,cv5,100,14,c2,1,0.7942
toy,cv5,100,14,c2,2,0.842
toy,cv5,100,14,c2,3,0.8253
toy,cv5,100,14,c2,4,0.8541
toy,cv5,100,14,c2,5,0.8004
toy,cv5,100,14,c3,1,0.7209
toy,cv5,100,14,c3,2,0.7379
toy,cv5,100,14,c3,3,0.7547
toy,cv5,100,14,c3,4,0.7523
toy,cv5,100,14,c3,5,0.7069
toy,cv5,100,15,c1,1,0.8597
toy,cv5,100,15,c1,2,0.9421
toy,cv5,100,15,c1,3,0.919
toy,cv5,100,15,c1,4,0.8207
toy,cv5,100,15,c1,5,0.8411
toy,cv5,100,15,c2,1,0.7688
toy,cv5,100,15,c2,2,0.8002
toy,cv5,100,15,c2,3,0.8328
toy,cv5,100,15,c2,4,0.8649
toy,cv5,100,15,c2,5,0.7952
toy,cv5,100,15,c3,1,0.7379
toy,cv5,100,15,c3,2,0.6841
toy,cv5,100,15,c3,3,0.7556
toy,cv5,100,15,c3,4,0.7232
toy,cv5,100,15,c3,5,0.7424
toy,cv5,100,16,c1,1,0.8326
toy,cv5,100,16,c1,2,0.7727
toy,cv5,100,16,c1,3,0.7832
toy,cv5,100,16,c1,4,0.9126
toy,cv5,100,16,c1,5,0.7896
toy,cv5,100,16,c2,1,0.7665
toy,cv5,100,16,c2,2,0.8721
toy,cv5,100,16,c2,3,0.9106
toy,cv5,100,16,c2,4,0.7638
toy,cv5,100,16,c2,5,0.7927
toy,cv5,100,16,c3,1,0.7583
toy,cv5,100,16,c3,2,0.8082
toy,cv5,100,16,c3,3,0.7104
toy,cv5,100,16,c3,4,0.7371
toy,cv5,100,16,c3,5,0.774
toy,cv5,100,17,c1,1,0.8434
toy,cv5,100,17,c1,2,0.8521
toy,cv5,100,17,c1,3,0.8075
toy,cv5,100,17,c1,4,0.8484
toy,cv5,100,17,c1,5,0.8474
toy,cv5,100,17,c2,1,0.8353
toy,cv5,100,17,c2,2,0.807
toy,cv5,100,17,c2,3,0.8439
toy,cv5,100,17,c2,4,0.8634
toy,cv5,100,17,c2,5,0.8326
toy,cv5,100,17,c3,1,0.7796
toy,cv5,100,17,c3,2,0.7689
toy,cv5,100,17,c3,3,0.767
toy,cv5,100,17,c3,4,0.741
toy,cv5,100,17,c3,5,0.7784
toy,cv5,100,18,c1,1,0.9238
toy,cv5,100,18,c1,2,0.9051
toy,cv5,100,18,c1,3,0.8623
toy,cv5,100,18,c1,4,0.821
toy,cv5,100,18,c1,5,0.8084
toy,cv5,100,18,c2,1,0.8613
toy,cv5,100,18,c2,2,0.8279
toy,cv5,100,18,c2,3,0.8357
toy,cv5,100,18,c2,4,0.7556
toy,cv5,100,18,c2,5,0.8518
toy,cv5,100,18,c3,1,0.7748
toy,cv5,100,18,c3,2,0.7185
toy,cv5,100,18,c3,3,0.7415
toy,cv5,100,18,c3,4,0.7679
toy,cv5,100,18,c3,5,0.7603
toy,cv5,100,19,c1,1,0.8416
toy,cv5,100,19,c1,2,0.8363
toy,cv5,100,19,c1,3,0.8508
toy,cv5,100,19,c1,4,0.8983
toy,cv5,100,19,c1,5,0.7529
toy,cv5,100,19,c2,1,0.8068
toy,cv5,100,19,c2,2,0.8217
toy,cv5,100,19,c2,3,0.826
toy,cv5,100,19,c2,4,0.8019
toy,cv5,100,19,c2,5,0.7521
toy,cv5,100,19,c3,1,0.7671
toy,cv5,100,19,c3,2,0.8175
toy,cv5,100,19,c3,3,0.7001
toy,cv5,100,19,c3,4,0.7864
toy,cv5,100,19,c3,5,0.7435
toy,cv5,100,20,c1,1,0.8111
toy,cv5,100,20,c1,2,0.837
toy,cv5,100,20,c1,3,0.8958
toy,cv5,100,20,c1,4,0.87
toy,cv5,100,20,c1,5,0.9114
toy,cv5,100,20,c2,1,0.8614
toy,cv5,100,20,c2,2,0.8348
toy,cv5,100,20,c2,3,0.8818
toy,cv5,100,20,c2,4,0.8348
toy,cv5,100,20,c2,5,0.8488
toy,cv5,100,20,c3,1,0.7483
toy,cv5,100,20,c3,2,0.7614
toy,cv5,100,20,c3,3,0.7339
toy,cv5,100,20,c3,4,0.7946
toy,cv5,100,20,c3,5,0.7166
toy,cv5,500,1,c1,1,0.8525
toy,cv5,500,1,c1,2,0.8746
toy,cv5,500,1,c1,3,0.8678
toy,cv5,500,1,c1,4,0.8851
toy,cv5,500,1,c1,5,0.8675
toy,cv5,500,1,c2,1,0.8002
toy,cv5,500,1,c2,2,0.8245
toy,cv5,500,1,c2,3,0.8066
toy,cv5,500,1,c2,4,0.8172
toy,cv5,500,1,c2,5,0.8501
toy,cv5,500,1,c3,1,0.776
toy,cv5,500,1,c3,2,0.7543
toy,cv5,500,1,c3,3,0.7492
toy,cv5,500,1,c3,4,0.7662
toy,cv5,500,1,c3,5,0.7459
toy,cv5,500,2,c1,1,0.8502
toy,cv5,500,2,c1,2,0.8639
toy,cv5,500,2,c1,3,0.855
toy,cv5,500,2,c1,4,0.808
toy,cv5,500,2,c1,5,0.8501
toy,cv5,500,2,c2,1,0.8163
toy,cv5,500,2,c2,2,0.8219
toy,cv5,500,2,c2,3,0.8414
toy,cv5,500,2,c2,4,0.7817
toy,cv5,500,2,c2,5,0.8056
toy,cv5,500,2,c3,1,0.7647
toy,cv5,500,2,c3,2,0.7295
toy,cv5,500,2,c3,3,0.7791
toy,cv5,500,2,c3,4,0.7611
toy,cv5,500,2,c3,5,0.7689
toy,cv5,500,3,c1,1,0.8591
toy,cv5,500,3,c1,2,0.8632
toy,cv5,500,3,c1,3,0.8497
toy,cv5,500,3,c1,4,0.8497
toy,cv5,500,3,c1,5,0.8503
toy,cv5,500,3,c2,1,0.8019
toy,cv5,500,3,c2,2,0.8135
toy,cv5,500,3,c2,3,0.8134
toy,cv5,500,3,c2,4,0.8221
toy,cv5,500,3,c2,5,0.8321
toy,cv5,500,3,c3,1,0.7387
toy,cv5,500,3,c3,2,0.7539
toy,cv5,500,3,c3,3,0.7799
toy,cv5,500,3,c3,4,0.7438
toy,cv5,500,3,c3,5,0.7426
toy,cv5,500,4,c1,1,0.8651
toy,cv5,500,4,c1,2,0.8516
toy,cv5,500,4,c1,3,0.873
toy,cv5,500,4,c1,4,0.8653
toy,cv5,500,4,c1,5,0.8651
toy,cv5,500,4,c2,1,0.8304
toy,cv5,500,4,c2,2,0.8592
toy,cv5,500,4,c2,3,0.8181
toy,cv5,500,4,c2,4,0.789
toy,cv5,500,4,c2,5,0.8474
toy,cv5,500,4,c3,1,0.754
toy,cv5,500,4,c3,2,0.7632
toy,cv5,500,4,c3,3,0.7827
toy,cv5,500,4,c3,4,0.7355
toy,cv5,500,4,c3,5,0.7412
toy,cv5,500,5,c1,1,0.8256
toy,cv5,500,5,c1,2,0.8456
toy,cv5,500,5,c1,3,0.847
toy,cv5,500,5,c1,4,0.8429
toy,cv5,500,5,c1,5,0.8156
toy,cv5,500,5,c2,1,0.771
toy,cv5,500,5,c2,2,0.8094
toy,cv5,500,5,c2,3,0.8008
toy,cv5,500,5,c2,4,0.8159
toy,cv5,500,5,c2,5,0.8198
toy,cv5,500,5,c3,1,0.7507
toy,cv5,500,5,c3,2,0.7608
toy,cv5,500,5,c3,3,0.7522
toy,cv5,500,5,c3,4,0.7571
toy,cv5,500,5,c3,5,0.7371
toy,cv5,500,6,c1,1,0.8519
toy,cv5,500,6,c1,2,0.862
toy,cv5,500,6,c1,3,0.8423
toy,cv5,500,6,c1,4,0.8571
toy,cv5,500,6,c1,5,0.8444
toy,cv5,500,6,c2,1,0.8168
toy,cv5,500,6,c2,2,0.8321
toy,cv5,500,6,c2,3,0.7864
toy,cv5,500,6,c2,4,0.7977
toy,cv5,500,6,c2,5,0.7947
toy,cv5,500,6,c3,1,0.7209
toy,cv5,500,6,c3,2,0.7477
toy,cv5,500,6,c3,3,0.7708
toy,cv5,500,6,c3,4,0.7541
toy,cv5,500,6,c3,5,0.7619
toy,cv5,500,7,c1,1,0.8794
toy,cv5,500,7,c1,2,0.8567
toy,cv5,500,7,c1,3,0.8798
toy,cv5,500,7,c1,4,0.8593
toy,cv5,500,7,c1,5,0.8443
toy,cv5,500,7,c2,1,0.8182
toy,cv5,500,7,c2,2,0.8039
toy,cv5,500,7,c2,3,0.8135
toy,cv5,500,7,c2,4,0.822
toy,cv5,500,7,c2,5,0.8409
toy,cv5,500,7,c3,1,0.7957
toy,cv5,500,7,c3,2,0.7455
toy,cv5,500,7,c3,3,0.7742
toy,cv5,500,7,c3,4,0.751
toy,cv5,500,7,c3,5,0.7755
toy,cv5,500,8,c1,1,0.8194
toy,cv5,500,8,c1,2,0.8641
toy,cv5,500,8,c1,3,0.8393
toy,cv5,500,8,c1,4,0.8404
toy,cv5,500,8,c1,5,0.8317
toy,cv5,500,8,c2,1,0.8085
toy,cv5,500,8,c2,2,0.826
toy,cv5,500,8,c2,3,0.816
toy,cv5,500,8,c2,4,0.8244
toy,cv5,500,8,c2,5,0.8249
toy,cv5,500,8,c3,1,0.7805
toy,cv5,500,8,c3,2,0.7535
toy,cv5,500,8,c3,3,0.7351
toy,cv5,500,8,c3,4,0.7763
toy,cv5,500,8,c3,5,0.7537
toy,cv5,500,9,c1,1,0.8642
toy,cv5,500,9,c1,2,0.8559
toy,cv5,500,9,c1,3,0.8637
toy,cv5,500,9,c1,4,0.8896
toy,cv5,500,9,c1,5,0.8917
toy,cv5,500,9,c2,1,0.8291
toy,cv5,500,9,c2,2,0.8306
toy,cv5,500,9,c2,3,0.8455
toy,cv5,500,9,c2,4,0.8143
toy,cv5,500,9,c2,5,0.8334
toy,cv5,500,9,c3,1,0.7676
toy,cv5,500,9,c3,2,0.7731
toy,cv5,500,9,c3,3,0.7545
toy,cv5,500,9,c3,4,0.7423
toy,cv5,500,9,c3,5,0.7344
toy,cv5,500,10,c1,1,0.8345
toy,cv5,500,10,c1,2,0.8372
toy,cv5,500,10,c1,3,0.8733
toy,cv5,500,10,c1,4,0.8599
toy,cv5,500,10,c1,5,0.8264
toy,cv5,500,10,c2,1,0.8176
toy,cv5,500,10,c2,2,0.8054
toy,cv5,500,10,c2,3,0.8073
toy,cv5,500,10,c2,4,0.815
toy,cv5,500,10,c2,5,0.822
toy,cv5,500,10,c3,1,0.7465
toy,cv5,500,10,c3,2,0.7692
toy,cv5,500,10,c3,3,0.7335
toy,cv5,500,10,c3,4,0.7521
toy,cv5,500,10,c3,5,0.794
toy,cv5,500,11,c1,1,0.8748
toy,cv5,500,11,c1,2,0.8531
toy,cv5,500,11,c1,3,0.861
toy,cv5,500,11,c1,4,0.8507
toy,cv5,500,11,c1,5,0.8488
toy,cv5,500,11,c2,1,0.809
toy,cv5,500,11,c2,2,0.8286
toy,cv5,500,11,c2,3,0.8078
toy,cv5,500,11,c2,4,0.8324
toy,cv5,500,11,c2,5,0.8392
toy,cv5,500,11,c3,1,0.7675
toy,cv5,500,11,c3,2,0.757
toy,cv5,500,11,c3,3,0.769
toy,cv5,500,11,c3,4,0.7566
toy,cv5,500,11,c3,5,0.7768
toy,cv5,500,12,c1,1,0.8314
toy,cv5,500,12,c1,2,0.8046
toy,cv5,500,12,c1,3,0.8126
toy,cv5,500,12,c1,4,0.8589
toy,cv5,500,12,c1,5,0.8513
toy,cv5,500,12,c2,1,0.7952
toy,cv5,500,12,c2,2,0.7825
toy,cv5,500,12,c2,3,0.7588
toy,cv5,500,12,c2,4,0.798
toy,cv5,500,12,c2,5,0.846
toy,cv5,500,12,c3,1,0.7539
toy,cv5,500,12,c3,2,0.7377
toy,cv5,500,12,c3,3,0.7543
toy,cv5,500,12,c3,4,0.7215
toy,cv5,500,12,c3,5,0.742
toy,cv5,500,13,c1,1,0.8493
toy,cv5,500,13,c1,2,0.8635
toy,cv5,500,13,c1,3,0.8563
toy,cv5,500,13,c1,4,0.8615
toy,cv5,500,13,c1,5,0.8396
toy,cv5,500,13,c2,1,0.8353
toy,cv5,500,13,c2,2,0.8471
toy,cv5,500,13,c2,3,0.805
toy,cv5,500,13,c2,4,0.8063
toy,cv5,500,13,c2,5,0.8424
toy,cv5,500,13,c3,1,0.7576
toy,cv5,500,13,c3,2,0.7835
toy,cv5,500,13,c3,3,0.7535
toy,cv5,500,13,c3,4,0.7843
toy,cv5,500,13,c3,5,0.7628
toy,cv5,500,14,c1,1,0.8772
toy,cv5,500,14,c1,2,0.846
toy,cv5,500,14,c1,3,0.8366
toy,cv5,500,14,c1,4,0.8446
toy,cv5,500,14,c1,5,0.8592
toy,cv5,500,14,c2,1,0.7965
toy,cv5,500,14,c2,2,0.8322
toy,cv5,500,14,c2,3,0.8131
toy,cv5,500,14,c2,4,0.8405
toy,cv5,500,14,c2,5,0.7831
toy,cv5,500,14,c3,1,0.7491
toy,cv5,500,14,c3,2,0.7345
toy,cv5,500,14,c3,3,0.7485
toy,cv5,500,14,c3,4,0.7659
toy,cv5,500,14,c3,5,0.759
toy,cv5,500,15,c1,1,0.8456
toy,cv5,500,15,c1,2,0.8515
toy,cv5,500,15,c1,3,0.8318
toy,cv5,500,15,c1,4,0.8596
toy,cv5,500,15,c1,5,0.8589
toy,cv5,500,15,c2,1,0.8244
toy,cv5,500,15,c2,2,0.8272
toy,cv5,500,15,c2,3,0.823
toy,cv5,500,15,c2,4,0.8511
toy,cv5,500,15,c2,5,0.8168
toy,cv5,500,15,c3,1,0.7532
toy,cv5,500,15,c3,2,0.746
toy,cv5,500,15,c3,3,0.7415
toy,cv5,500,15,c3,4,0.738
toy,cv5,500,15,c3,5,0.7438
toy,cv5,500,16,c1,1,0.8549
toy,cv5,500,16,c1,2,0.8503
toy,cv5,500,16,c1,3,0.8371
toy,cv5,500,16,c1,4,0.8641
toy,cv5,500,16,c1,5,0.8615
toy,cv5,500,16,c2,1,0.8169
toy,cv5,500,16,c2,2,0.8089
toy,cv5,500,16,c2,3,0.8284
toy,cv5,500,16,c2,4,0.8225
toy,cv5,500,16,c2,5,0.796
toy,cv5,500,16,c3,1,0.7584
toy,cv5,500,16,c3,2,0.7637
toy,cv5,500,16,c3,3,0.7449
toy,cv5,500,16,c3,4,0.7626
toy,cv5,500,16,c3,5,0.7359
toy,cv5,500,17,c1,1,0.8798
toy,cv5,500,17,c1,2,0.8555
toy,cv5,500,17,c1,3,0.8655
toy,cv5,500,17,c1,4,0.8206
toy,cv5,500,17,c1,5,0.8409
toy,cv5,500,17,c2,1,0.8249
toy,cv5,500,17,c2,2,0.8123
toy,cv5,500,17,c2,3,0.8412
toy,cv5,500,17,c2,4,0.862
toy,cv5,500,17,c2,5,0.8106
toy,cv5,500,17,c3,1,0.7561
toy,cv5,500,17,c3,2,0.7734
toy,cv5,500,17,c3,3,0.7957
toy,cv5,500,17,c3,4,0.7498
toy,cv5,500,17,c3,5,0.7737
toy,cv5,500,18,c1,1,0.8364
toy,cv5,500,18,c1,2,0.8424
toy,cv5,500,18,c1,3,0.8563
toy,cv5,500,18,c1,4,0.8547
toy,cv5,500,18,c1,5,0.8763
toy,cv5,500,18,c2,1,0.837
toy,cv5,500,18,c2,2,0.8044
toy,cv5,500,18,c2,3,0.8415
toy,cv5,500,18,c2,4,0.8238
toy,cv5,500,18,c2,5,0.8538
toy,cv5,500,18,c3,1,0.7629
toy,cv5,500,18,c3,2,0.7628
toy,cv5,500,18,c3,3,0.7819
toy,cv5,500,18,c3,4,0.7855
toy,cv5,500,18,c3,5,0.7804
toy,cv5,500,19,c1,1,0.8466
toy,cv5,500,19,c1,2,0.8211
toy,cv5,500,19,c1,3,0.8417
toy,cv5,500,19,c1,4,0.8148
toy,cv5,500,19,c1,5,0.8451
toy,cv5,500,19,c2,1,0.7948
toy,cv5,500,19,c2,2,0.7871
toy,cv5,500,19,c2,3,0.8194
toy,cv5,500,19,c2,4,0.8118
toy,cv5,500,19,c2,5,0.7979
toy,cv5,500,19,c3,1,0.7714
toy,cv5,500,19,c3,2,0.7407
toy,cv5,500,19,c3,3,0.7484
toy,cv5,500,19,c3,4,0.7522
toy,cv5,500,19,c3,5,0.7378
toy,cv5,500,20,c1,1,0.8448
toy,cv5,500,20,c1,2,0.8467
toy,cv5,500,20,c1,3,0.8755
toy,cv5,500,20,c1,4,0.8365
toy,cv5,500,20,c1,5,0.8143
toy,cv5,500,20,c2,1,0.8495
toy,cv5,500,20,c2,2,0.8647
toy,cv5,500,20,c2,3,0.8168
toy,cv5,500,20,c2,4,0.792
toy,cv5,500,20,c2,5,0.8184
toy,cv5,500,20,c3,1,0.7588
toy,cv5,500,20,c3,2,0.7603
toy,cv5,500,20,c3,3,0.7454
toy,cv5,500,20,c3,4,0.7728
toy,cv5,500,20,c3,5,0.7719
